"ID_TEMPO","NU_ANO","NU_MES","NU_ANOMES","SG_MES","NM_MESANO","NM_MES","NU_DIA","DT_TEMPO","NU_HORA"
127,2007,1,200701,Jan,Jan/2007,Janeiro  ,16,2007-01-16 00:00:00,13
128,2007,1,200701,Jan,Jan/2007,Janeiro  ,16,2007-01-16 00:00:00,14
129,2007,1,200701,Jan,Jan/2007,Janeiro  ,16,2007-01-16 00:00:00,15
130,2007,1,200701,Jan,Jan/2007,Janeiro  ,16,2007-01-16 00:00:00,16
131,2007,1,200701,Jan,Jan/2007,Janeiro  ,16,2007-01-16 00:00:00,17
132,2007,1,200701,Jan,Jan/2007,Janeiro  ,16,2007-01-16 00:00:00,18
133,2007,1,200701,Jan,Jan/2007,Janeiro  ,17,2007-01-17 00:00:00,8
134,2007,1,200701,Jan,Jan/2007,Janeiro  ,17,2007-01-17 00:00:00,9
135,2007,1,200701,Jan,Jan/2007,Janeiro  ,17,2007-01-17 00:00:00,10
136,2007,1,200701,Jan,Jan/2007,Janeiro  ,17,2007-01-17 00:00:00,11
137,2007,1,200701,Jan,Jan/2007,Janeiro  ,17,2007-01-17 00:00:00,12
138,2007,1,200701,Jan,Jan/2007,Janeiro  ,17,2007-01-17 00:00:00,13
139,2007,1,200701,Jan,Jan/2007,Janeiro  ,17,2007-01-17 00:00:00,14
140,2007,1,200701,Jan,Jan/2007,Janeiro  ,17,2007-01-17 00:00:00,15
141,2007,1,200701,Jan,Jan/2007,Janeiro  ,17,2007-01-17 00:00:00,16
142,2007,1,200701,Jan,Jan/2007,Janeiro  ,17,2007-01-17 00:00:00,17
143,2007,1,200701,Jan,Jan/2007,Janeiro  ,17,2007-01-17 00:00:00,18
144,2007,1,200701,Jan,Jan/2007,Janeiro  ,18,2007-01-18 00:00:00,8
145,2007,1,200701,Jan,Jan/2007,Janeiro  ,18,2007-01-18 00:00:00,9
146,2007,1,200701,Jan,Jan/2007,Janeiro  ,18,2007-01-18 00:00:00,10
147,2007,1,200701,Jan,Jan/2007,Janeiro  ,18,2007-01-18 00:00:00,11
148,2007,1,200701,Jan,Jan/2007,Janeiro  ,18,2007-01-18 00:00:00,12
149,2007,1,200701,Jan,Jan/2007,Janeiro  ,18,2007-01-18 00:00:00,13
150,2007,1,200701,Jan,Jan/2007,Janeiro  ,18,2007-01-18 00:00:00,14
151,2007,1,200701,Jan,Jan/2007,Janeiro  ,18,2007-01-18 00:00:00,15
152,2007,1,200701,Jan,Jan/2007,Janeiro  ,18,2007-01-18 00:00:00,16
153,2007,1,200701,Jan,Jan/2007,Janeiro  ,18,2007-01-18 00:00:00,17
154,2007,1,200701,Jan,Jan/2007,Janeiro  ,18,2007-01-18 00:00:00,18
155,2007,1,200701,Jan,Jan/2007,Janeiro  ,19,2007-01-19 00:00:00,8
156,2007,1,200701,Jan,Jan/2007,Janeiro  ,19,2007-01-19 00:00:00,9
157,2007,1,200701,Jan,Jan/2007,Janeiro  ,19,2007-01-19 00:00:00,10
158,2007,1,200701,Jan,Jan/2007,Janeiro  ,19,2007-01-19 00:00:00,11
159,2007,1,200701,Jan,Jan/2007,Janeiro  ,19,2007-01-19 00:00:00,12
160,2007,1,200701,Jan,Jan/2007,Janeiro  ,19,2007-01-19 00:00:00,13
161,2007,1,200701,Jan,Jan/2007,Janeiro  ,19,2007-01-19 00:00:00,14
162,2007,1,200701,Jan,Jan/2007,Janeiro  ,19,2007-01-19 00:00:00,15
163,2007,1,200701,Jan,Jan/2007,Janeiro  ,19,2007-01-19 00:00:00,16
164,2007,1,200701,Jan,Jan/2007,Janeiro  ,19,2007-01-19 00:00:00,17
165,2007,1,200701,Jan,Jan/2007,Janeiro  ,19,2007-01-19 00:00:00,18
166,2007,1,200701,Jan,Jan/2007,Janeiro  ,22,2007-01-22 00:00:00,8
167,2007,1,200701,Jan,Jan/2007,Janeiro  ,22,2007-01-22 00:00:00,9
168,2007,1,200701,Jan,Jan/2007,Janeiro  ,22,2007-01-22 00:00:00,10
169,2007,1,200701,Jan,Jan/2007,Janeiro  ,22,2007-01-22 00:00:00,11
170,2007,1,200701,Jan,Jan/2007,Janeiro  ,22,2007-01-22 00:00:00,12
171,2007,1,200701,Jan,Jan/2007,Janeiro  ,22,2007-01-22 00:00:00,13
172,2007,1,200701,Jan,Jan/2007,Janeiro  ,22,2007-01-22 00:00:00,14
173,2007,1,200701,Jan,Jan/2007,Janeiro  ,22,2007-01-22 00:00:00,15
174,2007,1,200701,Jan,Jan/2007,Janeiro  ,22,2007-01-22 00:00:00,16
175,2007,1,200701,Jan,Jan/2007,Janeiro  ,22,2007-01-22 00:00:00,17
176,2007,1,200701,Jan,Jan/2007,Janeiro  ,22,2007-01-22 00:00:00,18
177,2007,1,200701,Jan,Jan/2007,Janeiro  ,23,2007-01-23 00:00:00,8
178,2007,1,200701,Jan,Jan/2007,Janeiro  ,23,2007-01-23 00:00:00,9
179,2007,1,200701,Jan,Jan/2007,Janeiro  ,23,2007-01-23 00:00:00,10
180,2007,1,200701,Jan,Jan/2007,Janeiro  ,23,2007-01-23 00:00:00,11
181,2007,1,200701,Jan,Jan/2007,Janeiro  ,23,2007-01-23 00:00:00,12
182,2007,1,200701,Jan,Jan/2007,Janeiro  ,23,2007-01-23 00:00:00,13
183,2007,1,200701,Jan,Jan/2007,Janeiro  ,23,2007-01-23 00:00:00,14
184,2007,1,200701,Jan,Jan/2007,Janeiro  ,23,2007-01-23 00:00:00,15
185,2007,1,200701,Jan,Jan/2007,Janeiro  ,23,2007-01-23 00:00:00,16
186,2007,1,200701,Jan,Jan/2007,Janeiro  ,23,2007-01-23 00:00:00,17
187,2007,1,200701,Jan,Jan/2007,Janeiro  ,23,2007-01-23 00:00:00,18
188,2007,1,200701,Jan,Jan/2007,Janeiro  ,24,2007-01-24 00:00:00,8
189,2007,1,200701,Jan,Jan/2007,Janeiro  ,24,2007-01-24 00:00:00,9
190,2007,1,200701,Jan,Jan/2007,Janeiro  ,24,2007-01-24 00:00:00,10
191,2007,1,200701,Jan,Jan/2007,Janeiro  ,24,2007-01-24 00:00:00,11
192,2007,1,200701,Jan,Jan/2007,Janeiro  ,24,2007-01-24 00:00:00,12
193,2007,1,200701,Jan,Jan/2007,Janeiro  ,24,2007-01-24 00:00:00,13
194,2007,1,200701,Jan,Jan/2007,Janeiro  ,24,2007-01-24 00:00:00,14
195,2007,1,200701,Jan,Jan/2007,Janeiro  ,24,2007-01-24 00:00:00,15
196,2007,1,200701,Jan,Jan/2007,Janeiro  ,24,2007-01-24 00:00:00,16
197,2007,1,200701,Jan,Jan/2007,Janeiro  ,24,2007-01-24 00:00:00,17
198,2007,1,200701,Jan,Jan/2007,Janeiro  ,24,2007-01-24 00:00:00,18
199,2007,1,200701,Jan,Jan/2007,Janeiro  ,25,2007-01-25 00:00:00,8
200,2007,1,200701,Jan,Jan/2007,Janeiro  ,25,2007-01-25 00:00:00,9
201,2007,1,200701,Jan,Jan/2007,Janeiro  ,25,2007-01-25 00:00:00,10
202,2007,1,200701,Jan,Jan/2007,Janeiro  ,25,2007-01-25 00:00:00,11
203,2007,1,200701,Jan,Jan/2007,Janeiro  ,25,2007-01-25 00:00:00,12
204,2007,1,200701,Jan,Jan/2007,Janeiro  ,25,2007-01-25 00:00:00,13
205,2007,1,200701,Jan,Jan/2007,Janeiro  ,25,2007-01-25 00:00:00,14
206,2007,1,200701,Jan,Jan/2007,Janeiro  ,25,2007-01-25 00:00:00,15
207,2007,1,200701,Jan,Jan/2007,Janeiro  ,25,2007-01-25 00:00:00,16
208,2007,1,200701,Jan,Jan/2007,Janeiro  ,25,2007-01-25 00:00:00,17
209,2007,1,200701,Jan,Jan/2007,Janeiro  ,25,2007-01-25 00:00:00,18
210,2007,1,200701,Jan,Jan/2007,Janeiro  ,26,2007-01-26 00:00:00,8
211,2007,1,200701,Jan,Jan/2007,Janeiro  ,26,2007-01-26 00:00:00,9
212,2007,1,200701,Jan,Jan/2007,Janeiro  ,26,2007-01-26 00:00:00,10
213,2007,1,200701,Jan,Jan/2007,Janeiro  ,26,2007-01-26 00:00:00,11
214,2007,1,200701,Jan,Jan/2007,Janeiro  ,26,2007-01-26 00:00:00,12
215,2007,1,200701,Jan,Jan/2007,Janeiro  ,26,2007-01-26 00:00:00,13
216,2007,1,200701,Jan,Jan/2007,Janeiro  ,26,2007-01-26 00:00:00,14
217,2007,1,200701,Jan,Jan/2007,Janeiro  ,26,2007-01-26 00:00:00,15
218,2007,1,200701,Jan,Jan/2007,Janeiro  ,26,2007-01-26 00:00:00,16
219,2007,1,200701,Jan,Jan/2007,Janeiro  ,26,2007-01-26 00:00:00,17
220,2007,1,200701,Jan,Jan/2007,Janeiro  ,26,2007-01-26 00:00:00,18
221,2007,1,200701,Jan,Jan/2007,Janeiro  ,29,2007-01-29 00:00:00,8
222,2007,1,200701,Jan,Jan/2007,Janeiro  ,29,2007-01-29 00:00:00,9
223,2007,1,200701,Jan,Jan/2007,Janeiro  ,29,2007-01-29 00:00:00,10
224,2007,1,200701,Jan,Jan/2007,Janeiro  ,29,2007-01-29 00:00:00,11
225,2007,1,200701,Jan,Jan/2007,Janeiro  ,29,2007-01-29 00:00:00,12
226,2007,1,200701,Jan,Jan/2007,Janeiro  ,29,2007-01-29 00:00:00,13
227,2007,1,200701,Jan,Jan/2007,Janeiro  ,29,2007-01-29 00:00:00,14
228,2007,1,200701,Jan,Jan/2007,Janeiro  ,29,2007-01-29 00:00:00,15
229,2007,1,200701,Jan,Jan/2007,Janeiro  ,29,2007-01-29 00:00:00,16
230,2007,1,200701,Jan,Jan/2007,Janeiro  ,29,2007-01-29 00:00:00,17
231,2007,1,200701,Jan,Jan/2007,Janeiro  ,29,2007-01-29 00:00:00,18
232,2007,1,200701,Jan,Jan/2007,Janeiro  ,30,2007-01-30 00:00:00,8
233,2007,1,200701,Jan,Jan/2007,Janeiro  ,30,2007-01-30 00:00:00,9
234,2007,1,200701,Jan,Jan/2007,Janeiro  ,30,2007-01-30 00:00:00,10
235,2007,1,200701,Jan,Jan/2007,Janeiro  ,30,2007-01-30 00:00:00,11
236,2007,1,200701,Jan,Jan/2007,Janeiro  ,30,2007-01-30 00:00:00,12
237,2007,1,200701,Jan,Jan/2007,Janeiro  ,30,2007-01-30 00:00:00,13
238,2007,1,200701,Jan,Jan/2007,Janeiro  ,30,2007-01-30 00:00:00,14
239,2007,1,200701,Jan,Jan/2007,Janeiro  ,30,2007-01-30 00:00:00,15
240,2007,1,200701,Jan,Jan/2007,Janeiro  ,30,2007-01-30 00:00:00,16
241,2007,1,200701,Jan,Jan/2007,Janeiro  ,30,2007-01-30 00:00:00,17
242,2007,1,200701,Jan,Jan/2007,Janeiro  ,30,2007-01-30 00:00:00,18
243,2007,1,200701,Jan,Jan/2007,Janeiro  ,31,2007-01-31 00:00:00,8
244,2007,1,200701,Jan,Jan/2007,Janeiro  ,31,2007-01-31 00:00:00,9
245,2007,1,200701,Jan,Jan/2007,Janeiro  ,31,2007-01-31 00:00:00,10
246,2007,1,200701,Jan,Jan/2007,Janeiro  ,31,2007-01-31 00:00:00,11
247,2007,1,200701,Jan,Jan/2007,Janeiro  ,31,2007-01-31 00:00:00,12
248,2007,1,200701,Jan,Jan/2007,Janeiro  ,31,2007-01-31 00:00:00,13
249,2007,1,200701,Jan,Jan/2007,Janeiro  ,31,2007-01-31 00:00:00,14
250,2007,1,200701,Jan,Jan/2007,Janeiro  ,31,2007-01-31 00:00:00,15
251,2007,1,200701,Jan,Jan/2007,Janeiro  ,31,2007-01-31 00:00:00,16
502,2007,3,200703,Mar,Mar/2007,Março    ,5,2007-03-05 00:00:00,14
503,2007,3,200703,Mar,Mar/2007,Março    ,5,2007-03-05 00:00:00,15
504,2007,3,200703,Mar,Mar/2007,Março    ,5,2007-03-05 00:00:00,16
505,2007,3,200703,Mar,Mar/2007,Março    ,5,2007-03-05 00:00:00,17
506,2007,3,200703,Mar,Mar/2007,Março    ,5,2007-03-05 00:00:00,18
507,2007,3,200703,Mar,Mar/2007,Março    ,6,2007-03-06 00:00:00,8
508,2007,3,200703,Mar,Mar/2007,Março    ,6,2007-03-06 00:00:00,9
509,2007,3,200703,Mar,Mar/2007,Março    ,6,2007-03-06 00:00:00,10
510,2007,3,200703,Mar,Mar/2007,Março    ,6,2007-03-06 00:00:00,11
511,2007,3,200703,Mar,Mar/2007,Março    ,6,2007-03-06 00:00:00,12
512,2007,3,200703,Mar,Mar/2007,Março    ,6,2007-03-06 00:00:00,13
513,2007,3,200703,Mar,Mar/2007,Março    ,6,2007-03-06 00:00:00,14
514,2007,3,200703,Mar,Mar/2007,Março    ,6,2007-03-06 00:00:00,15
515,2007,3,200703,Mar,Mar/2007,Março    ,6,2007-03-06 00:00:00,16
516,2007,3,200703,Mar,Mar/2007,Março    ,6,2007-03-06 00:00:00,17
517,2007,3,200703,Mar,Mar/2007,Março    ,6,2007-03-06 00:00:00,18
518,2007,3,200703,Mar,Mar/2007,Março    ,7,2007-03-07 00:00:00,8
519,2007,3,200703,Mar,Mar/2007,Março    ,7,2007-03-07 00:00:00,9
520,2007,3,200703,Mar,Mar/2007,Março    ,7,2007-03-07 00:00:00,10
521,2007,3,200703,Mar,Mar/2007,Março    ,7,2007-03-07 00:00:00,11
522,2007,3,200703,Mar,Mar/2007,Março    ,7,2007-03-07 00:00:00,12
523,2007,3,200703,Mar,Mar/2007,Março    ,7,2007-03-07 00:00:00,13
524,2007,3,200703,Mar,Mar/2007,Março    ,7,2007-03-07 00:00:00,14
525,2007,3,200703,Mar,Mar/2007,Março    ,7,2007-03-07 00:00:00,15
526,2007,3,200703,Mar,Mar/2007,Março    ,7,2007-03-07 00:00:00,16
527,2007,3,200703,Mar,Mar/2007,Março    ,7,2007-03-07 00:00:00,17
